cluster,n_jobs,top_category,top_titles,top_skills,median_salary_min,pct_with_salary,n_with_salary,salary_max_p25,salary_max_median,salary_max_p75,salary_max_iqr,salary_max_cv,salary_viable,tier_Entry,tier_Unknown,tier_Junior,tier_Mid,tier_Intern,tier_Senior,tier_Lead,tier_Manager,tier_Director
3,6462,Engineering,Project Engineer | Electrical Engineer | Software Engineer | BIM Modeller | Network Engineer,AutoCAD | Troubleshooting | Electrical | Construction | Technical Support,3800.0,0.998,6451,4500.0,5500.0,7000.0,2500.0,0.542,True,0.146,0.526,0.144,0.152,0.003,0.025,0.002,0.001,
9,6277,Customer Service,Sales Executive | Business Development Executive | Marketing Executive | Sales Coordinator | Sales Engineer,Leadership | Interpersonal Skills | Customer Service | Marketing | Team Player,3000.0,0.995,6247,3800.0,4500.0,5000.0,1200.0,0.443,True,0.55,0.327,0.047,0.026,0.038,0.002,0.005,0.005,
14,4849,Admin / Secretarial,Admin Assistant | Admin Executive | Project Engineer | Project Coordinator | Administrative Assistant,Microsoft Excel | Microsoft Office | Administrative Support | Able To Work Independently | Administration,3000.0,0.99,4799,3000.0,4000.0,5000.0,2000.0,0.691,False,0.315,0.473,0.092,0.094,0.004,0.014,0.001,0.007,0.0
2,4237,Building and Construction,Quantity Surveyor | Site Engineer | Site Supervisor | QUANTITY SURVEYOR | Senior Quantity Surveyor,Construction | Civil Engineering | Electrical | Quantity Surveying | Drawing,3500.0,1.0,4236,4200.0,5000.0,6000.0,1800.0,0.434,True,0.1,0.482,0.144,0.18,,0.08,0.009,0.005,0.0
20,4145,Building and Construction,Project Manager | SUPERVISOR | MANAGER | Supervisor | Operations Manager,Leadership | Project Management | Construction | Microsoft Excel | Microsoft Office,5300.0,0.995,4126,5500.0,7500.0,11000.0,5500.0,0.878,False,0.012,0.459,0.011,0.185,,0.111,0.026,0.162,0.034
12,3944,Logistics / Supply Chain,Warehouse Assistant | LORRY DRIVER | Delivery Driver | Driver | Procurement Executive,Unloading | Microsoft Excel | Housekeeping | Customer Service | Driving License,2700.0,0.989,3900,2800.0,3500.0,4500.0,1700.0,1.203,False,0.404,0.457,0.061,0.06,0.002,0.01,0.003,0.003,
4,3447,Sales / Retail,Sales Manager | Business Development Manager | SALES MANAGER | BUSINESS DEVELOPMENT MANAGER | SALES SUPERVISOR,Business Development | Negotiation | Marketing | Sales | Interpersonal Skills,4500.0,0.994,3425,5000.0,6500.0,9500.0,4500.0,1.354,False,0.044,0.452,0.059,0.181,0.001,0.094,0.023,0.114,0.032
11,3345,Information Technology,Senior Software Engineer | Senior Project Engineer | Project Engineer | Software Engineer | Senior Java Developer,Construction | AutoCAD | Electrical | Computer Science | Civil Engineering,6000.0,0.999,3340,6500.0,8500.0,11000.0,4500.0,0.711,False,0.004,0.492,0.006,0.154,,0.314,0.026,0.002,0.001
13,3262,Accounting / Auditing / Taxation,Accounts Executive | Accounts Assistant | Accountant | Finance Executive | Account Executive,Accounting | Microsoft Excel | Microsoft Office | Accounts Payable | Accounts Receivable,3000.0,0.994,3244,3500.0,4200.0,5500.0,2000.0,0.963,False,0.265,0.494,0.12,0.087,0.009,0.023,0.0,0.002,0.0
5,2987,Engineering,Quantity Surveyor | Technician | Service Technician | Pest Control Technician | Production Operator,Electrical | Troubleshooting | Housekeeping | Construction | Team Player,2500.0,0.986,2944,2700.0,3300.0,4500.0,1800.0,0.362,True,0.425,0.506,0.034,0.023,0.008,0.003,0.0,0.001,
