job_uuid,title,company_name,salary_min,salary_max,hot_jobs_cluster,cluster_label,seniority,peer_median,above_market_pct
69bc49a6357b4624a4a686e1cdf63d82,Quantitative Trader,BLOCKTECH APAC PTE. LTD.,215000,300000,19,SUPERVISOR,Mid,4800.0,4379.2
93c6158d35dac4163eb58889c1a7d177,Senior Site Reliability Engineer,KIDENTIFY PTE. LTD.,150000,180000,12,Warehouse Assistant,,3500.0,4185.7
b97e9f56954a91ea3888d09f58465212,Senior Staff Product Development Engineer,XILINX ASIA PACIFIC PTE. LTD.,140000,160000,12,Warehouse Assistant,,3500.0,3900.0
5be8a737c9f852b8562eb3bf8d6fdd90,Quantitative Researcher,BLOCKTECH APAC PTE. LTD.,170000,255000,19,SUPERVISOR,Mid,4800.0,3441.7
41a024a28f603ae232730f8dc4c23ea8,Solutions Engineer,SINCH SINGAPORE PTE. LTD.,128000,160000,12,Warehouse Assistant,Mid,4800.0,2566.7
d3f22405d907cf14bd3161e97d923e65,"Analyst, Real Estate Investments",STEPSTONE GROUP SINGAPORE PTE. LTD.,104652,111656,15,Beautician,Junior,4350.0,2305.8
0b5e1f2d8c6b6b8d6f21b010ae429699,"Managing Director, GFO APAC",THE NORTHERN TRUST COMPANY,381000,410000,7,BIM Manager,Director,17250.0,2108.7
f1da03fdf30e428cda68961329340ac9,Lifecycle Marketing Manager – B2C,GOODNOTES PTE. LTD.,103761,133000,16,Music Teacher,Mid,4800.0,2061.7
0afd36e61c61f3826ab1297d4d4ebe94,Account Manager Specialist,SINCH SINGAPORE PTE. LTD.,105000,125000,3,Project Engineer,,5500.0,1809.1
ee2589d6a571cbe9faaf9f266be17501,International School (Primary & Secondary) Teacher,,48000,72000,9,Sales Executive,,4500.0,966.7
038bc46bff379b9f1abc2289aab5aaff,"Senior Banker, Private Banking",RECRUITPLUS CONSULTING PTE. LTD.,50000,85000,2,Quantity Surveyor,,5000.0,900.0
06191d6235931110f22587c9ddcb98ab,Philanthropy & Partnerships Associate,THE FRED HOLLOWS FOUNDATION (Singapore Branch),30000,50000,1,Corporate Secretarial Executive,Entry,4000.0,650.0
6ab9b75ec7eafb994f7d8f66b12c9df3,Veterinary Ophthalmologist,THE EYE SPECIALIST FOR ANIMALS PTE. LTD.,45000,55000,6,HR Manager,Mid,6000.0,650.0
c5cb4a83da6da99d3bb121bd83263294,Solution Architect – APAC,CELOTTI TECH TALENT (SINGAPORE) PTE. LTD.,25000,28000,12,Warehouse Assistant,,3500.0,614.3
9281203ed08c6fe709498bda2e5ba2fd,Chief Executive Officer (CEO) - REIT,TRI-CAP CONSULTING PTE. LTD.,35000,50000,2,Quantity Surveyor,,5000.0,600.0
f359f5146c38becdb8733a406ddf36d0,Chief Commercial Officer,AVATION GROUP (S) PTE. LTD.,35000,45000,2,Quantity Surveyor,,5000.0,600.0
74bde7239114da0ebe3356a2dd432e8d,Principal Product Manager,AIRWALLEX (SINGAPORE) PTE. LTD.,22000,32000,12,Warehouse Assistant,,3500.0,528.6
f79ea43b19ac49b6c92151bf4f67dfab,Network Engineer — Ultra-Low-Latency Trading Infrastructure,DHARMACAPITAL PTE. LTD.,30000,50000,4,Sales Manager,Junior,5000.0,500.0
54bb7497664d1e413738631ec0889c47,Associate,ALLEN OVERY SHEARMAN STERLING LLP,20000,22500,15,Beautician,,3500.0,471.4
d16fc4da0624281e2c8612d5fd22fcad,Mid-level Associate (Aviation Finance),NORTON ROSE FULBRIGHT (ASIA) LLP,18300,24700,15,Beautician,,3500.0,422.9
a585c28427d218ac2bbb02e322d1d401,T&T Director - Artificial Intelligence & Data (Consumer Business) - SG,DELOITTE SINGAPORE T&T PTE. LTD.,23000,33000,19,SUPERVISOR,,4600.0,400.0
f0b249aad76ba375f7a66e1e29ab9f71,Senior Trader,FENIX FUND MANAGEMENT PTE. LTD.,25000,30000,2,Quantity Surveyor,,5000.0,400.0
f6759c109693fb02fb195485703190df,Staff Software Engineer,AIRWALLEX (SINGAPORE) PTE. LTD.,17000,25000,12,Warehouse Assistant,,3500.0,385.7
