cluster,cluster_label,seniority,n_jobs,pct_with_salary,n_with_salary,salary_max_p25,salary_max_median,salary_max_p75,salary_max_iqr,salary_max_cv,salary_viable
0,Clinic,Intern,29,0.897,26,1650.0,3000.0,3425.0,1775.0,0.44,True
0,Clinic,Entry,1088,0.953,1037,2800.0,3285.0,4200.0,1400.0,0.494,True
0,Clinic,Junior,121,0.967,117,3500.0,4500.0,5000.0,1500.0,0.251,True
0,Clinic,Mid,68,1.0,68,3500.0,4650.0,6000.0,2500.0,0.523,False
0,Clinic,Senior,14,0.929,13,3400.0,5000.0,5500.0,2100.0,0.35,False
0,Clinic,Lead,2,1.0,2,11250.0,12500.0,13750.0,2500.0,0.283,False
0,Clinic,Manager,1,1.0,1,,,,,,False
0,Clinic,Unknown,941,0.967,910,3000.0,3500.0,5000.0,2000.0,0.721,False
1,Corporate,Intern,2,1.0,2,5550.0,9700.0,13850.0,8300.0,1.21,False
1,Corporate,Entry,109,1.0,109,3500.0,4000.0,5000.0,1500.0,0.416,True
1,Corporate,Junior,88,1.0,88,4500.0,6000.0,8000.0,3500.0,0.414,True
1,Corporate,Mid,101,0.97,98,6000.0,7900.0,10000.0,4000.0,1.054,False
1,Corporate,Senior,81,1.0,81,8000.0,13000.0,16000.0,8000.0,1.279,False
1,Corporate,Lead,14,1.0,14,15000.0,15000.0,19500.0,4500.0,0.281,False
1,Corporate,Manager,24,1.0,24,7000.0,8000.0,10000.0,3000.0,1.549,False
1,Corporate,Director,12,1.0,12,19125.0,22000.0,55000.0,35875.0,0.843,False
1,Corporate,Unknown,401,0.998,400,4500.0,6500.0,10000.0,5500.0,1.334,False
2,Quantity,Entry,423,1.0,423,3500.0,4500.0,5000.0,1500.0,0.273,True
2,Quantity,Junior,610,0.998,609,4000.0,5000.0,5500.0,1500.0,0.265,True
2,Quantity,Mid,762,1.0,762,4200.0,5000.0,6000.0,1800.0,0.663,False
2,Quantity,Senior,341,1.0,341,5500.0,6700.0,9000.0,3500.0,0.345,True
2,Quantity,Lead,37,1.0,37,4500.0,4850.0,5500.0,1000.0,0.219,True
2,Quantity,Manager,20,1.0,20,4875.0,5500.0,6000.0,1125.0,0.262,True
2,Quantity,Director,2,1.0,2,7875.0,9750.0,11625.0,3750.0,0.544,False
2,Quantity,Unknown,2042,1.0,2042,4200.0,5000.0,6000.0,1800.0,0.358,True
3,Project,Intern,21,1.0,21,2000.0,4500.0,4600.0,2600.0,0.689,False
3,Project,Entry,945,0.995,940,3500.0,4200.0,5000.0,1500.0,0.348,True
3,Project,Junior,931,0.999,930,4500.0,5500.0,6775.0,2275.0,0.49,True
3,Project,Mid,979,0.999,978,5025.0,6700.0,8800.0,3775.0,0.649,False
3,Project,Senior,162,1.0,162,5500.0,7200.0,9925.0,4425.0,0.478,True
3,Project,Lead,15,1.0,15,4650.0,5500.0,6750.0,2100.0,0.356,False
3,Project,Manager,9,1.0,9,4240.0,5000.0,5500.0,1260.0,0.207,False
3,Project,Unknown,3400,0.999,3396,4500.0,5500.0,7000.0,2500.0,0.482,True
4,Sales,Intern,3,1.0,3,3900.0,5000.0,5000.0,1100.0,0.298,False
4,Sales,Entry,153,1.0,153,4000.0,4800.0,5500.0,1500.0,0.395,True
4,Sales,Junior,204,1.0,204,4400.0,5000.0,6000.0,1600.0,0.385,True
4,Sales,Mid,625,0.995,622,5000.0,6000.0,8000.0,3000.0,1.227,False
4,Sales,Senior,323,0.985,318,5000.0,7000.0,10875.0,5875.0,0.954,False
4,Sales,Lead,78,1.0,78,6500.0,9500.0,16575.0,10075.0,1.219,False
4,Sales,Manager,392,1.0,392,6000.0,7350.0,10000.0,4000.0,0.528,False
4,Sales,Director,110,0.973,107,12000.0,15000.0,20000.0,8000.0,0.578,False
4,Sales,Unknown,1559,0.993,1548,5000.0,6500.0,9000.0,4000.0,1.694,False
5,Quantity,Intern,24,0.917,22,2525.0,3000.0,3725.0,1200.0,0.305,True
5,Quantity,Entry,1269,0.987,1252,2500.0,3100.0,4000.0,1500.0,0.373,True
5,Quantity,Junior,103,1.0,103,3000.0,4000.0,4650.0,1650.0,0.268,True
5,Quantity,Mid,69,1.0,69,3500.0,4500.0,5000.0,1500.0,0.22,True
5,Quantity,Senior,8,1.0,8,3400.0,3800.0,4000.0,600.0,0.24,False
5,Quantity,Lead,1,1.0,1,,,,,,False
5,Quantity,Manager,3,1.0,3,3750.0,4000.0,4250.0,500.0,0.125,False
5,Quantity,Unknown,1510,0.984,1486,2800.0,3500.0,4500.0,1700.0,0.361,True
6,HR,Entry,13,1.0,13,5000.0,6000.0,8000.0,3000.0,0.348,False
6,HR,Junior,10,1.0,10,4000.0,4750.0,7000.0,3000.0,0.376,False
6,HR,Mid,145,0.993,144,4538.0,6000.0,7000.0,2462.0,0.365,True
6,HR,Senior,118,1.0,118,5000.0,6350.0,9000.0,4000.0,0.59,False
6,HR,Lead,74,1.0,74,7000.0,8500.0,11750.0,4750.0,0.48,True
6,HR,Manager,185,1.0,185,5500.0,6600.0,8200.0,2700.0,0.386,True
6,HR,Director,28,1.0,28,9650.0,13000.0,17250.0,7600.0,0.394,True
6,HR,Unknown,512,0.992,508,5000.0,6950.0,8525.0,3525.0,0.63,False
7,BIM,Entry,7,1.0,7,4350.0,5400.0,6350.0,2000.0,0.416,False
7,BIM,Junior,25,1.0,25,4500.0,5000.0,6400.0,1900.0,0.291,True
7,BIM,Mid,104,0.99,103,5000.0,7300.0,9500.0,4500.0,0.571,False
7,BIM,Senior,223,1.0,223,8000.0,10000.0,14000.0,6000.0,0.408,True
7,BIM,Lead,454,0.996,452,8000.0,11000.0,15000.0,7000.0,0.579,False
7,BIM,Manager,264,0.992,262,8500.0,11000.0,13500.0,5000.0,0.7,False
7,BIM,Director,85,0.988,84,15000.0,17250.0,21250.0,6250.0,0.311,True
7,BIM,Unknown,1128,0.999,1127,7000.0,9500.0,13000.0,6000.0,0.636,False
8,ASSISTANT,Intern,20,1.0,20,2600.0,2950.0,3500.0,900.0,0.233,True
8,ASSISTANT,Entry,1223,0.948,1159,2500.0,2850.0,3500.0,1000.0,0.439,True
8,ASSISTANT,Junior,93,0.989,92,2900.0,3450.0,3900.0,1000.0,0.261,True
8,ASSISTANT,Mid,139,0.964,134,3200.0,4000.0,5000.0,1800.0,0.587,False
8,ASSISTANT,Senior,6,1.0,6,2800.0,3150.0,3500.0,700.0,0.171,False
8,ASSISTANT,Lead,6,1.0,6,3000.0,3250.0,3575.0,575.0,0.251,False
8,ASSISTANT,Manager,17,0.941,16,3800.0,4050.0,5000.0,1200.0,0.191,False
8,ASSISTANT,Unknown,1190,0.964,1147,2600.0,3000.0,3600.0,1000.0,0.379,True
9,Sales,Intern,240,1.0,240,1600.0,4500.0,5000.0,3400.0,0.481,True
9,Sales,Entry,3454,0.998,3448,4000.0,4500.0,5000.0,1000.0,0.266,True
9,Sales,Junior,295,0.99,292,3800.0,4500.0,5000.0,1200.0,0.345,True
9,Sales,Mid,166,1.0,166,3925.0,4500.0,5575.0,1650.0,0.359,True
9,Sales,Senior,11,1.0,11,4000.0,4500.0,5750.0,1750.0,1.42,False
9,Sales,Lead,30,1.0,30,5000.0,5000.0,6000.0,1000.0,1.944,False
9,Sales,Manager,29,0.966,28,4875.0,8000.0,10000.0,5125.0,0.478,True
9,Sales,Unknown,2052,0.99,2032,3500.0,4500.0,5000.0,1500.0,0.37,True
10,HR,Intern,50,0.98,49,1400.0,2000.0,3300.0,1900.0,0.485,True
10,HR,Entry,496,0.988,490,3000.0,3500.0,4000.0,1000.0,0.336,True
10,HR,Junior,191,0.99,189,3600.0,4000.0,4500.0,900.0,0.268,True
10,HR,Mid,133,0.992,132,3600.0,4500.0,5005.0,1405.0,1.555,False
10,HR,Senior,39,0.949,37,4500.0,5000.0,5500.0,1000.0,0.236,True
10,HR,Lead,4,1.0,4,6000.0,8250.0,12499.0,6499.0,0.672,False
10,HR,Manager,9,1.0,9,5000.0,5800.0,7500.0,2500.0,0.48,False
10,HR,Unknown,816,0.993,810,3200.0,3800.0,4500.0,1300.0,0.908,False
11,Senior,Entry,14,1.0,14,4500.0,4875.0,6150.0,1650.0,0.329,False
11,Senior,Junior,20,1.0,20,4875.0,6000.0,8000.0,3125.0,0.399,True
11,Senior,Mid,515,0.996,513,6000.0,7500.0,9500.0,3500.0,0.891,False
11,Senior,Senior,1052,0.998,1050,7500.0,9500.0,12000.0,4500.0,0.399,True
11,Senior,Lead,88,1.0,88,9500.0,11750.0,16000.0,6500.0,0.402,True
11,Senior,Manager,6,1.0,6,7350.0,8750.0,10000.0,2650.0,0.254,False
11,Senior,Director,5,1.0,5,16000.0,17000.0,18000.0,2000.0,0.253,False
11,Senior,Unknown,1645,0.999,1644,6500.0,8000.0,10000.0,3500.0,0.85,False
12,Warehouse,Intern,8,1.0,8,2400.0,3000.0,3125.0,725.0,0.391,False
12,Warehouse,Entry,1595,0.984,1569,2600.0,3000.0,4000.0,1400.0,0.353,True
12,Warehouse,Junior,241,0.996,240,3500.0,4300.0,4825.0,1325.0,0.401,True
12,Warehouse,Mid,235,1.0,235,3600.0,4800.0,5500.0,1900.0,0.471,True
12,Warehouse,Senior,40,1.0,40,4200.0,6000.0,8000.0,3800.0,3.189,False
12,Warehouse,Lead,13,0.923,12,4000.0,4500.0,4850.0,850.0,0.951,False
